"SKU","Title","Field Name","Merchant Value","Amazon Value"
"1002408","Jow Men's Justin Original Work Boot Pull-On Round Toe Brown","brand","JOW","Justin Original Work"
"1002410","Jow Men's Justin Original Work Boot Pull-On Round Toe Brown","brand","JOW","Justin Original Work"
"1002412","Jow Men's Justin Original Work Boot Pull-On Round Toe Copper","brand","JOW","Justin Boots"
"1002415","Jow Men's Justin Original Work Boot Pull-On Round Toe Copper","brand","JOW","Justin Original Work Boots"
"1002470","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1002472","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","color","Tobacco","Briar"
"1002473","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","skipped","skipped","skipped"
"1002474","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1002475","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1002477","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1002480","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Brown""","color","Brown","Aged Bark"
"1002482","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Brown""","brand","JOW","Justin Original Work"
"1002484","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Copper""","brand","JOW","Justin"
"1002584","""Jow Men's Justin Original 6"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin Work Boots"
"1002971","""Jow Men's Justin 8"""" Lace-R Waterproof Work Boot Aged Bark""","brand","JOW","Justin Original Work Boots"
"1003257","Chippewa Men's Harness Motorcycle Boot Tarn Brass","color","Tarn Brass","Brown"
"1003498","""John Deere Men's 6"""" Wct Waterproof Work Hiker Boot Tan""","color","Tan","Poplar"
"1009322","Indiana Jones Men's Fur Felt Fedora Hat Brown","brand","Indiana Jones","Dorfman Pacific"
"1012393","Wrangler Boys' Jeans  Cowboy Cut Dark Indigo","size","3","3T"
"1077843","Jow Men's Justin Original Work Boot Pull-On Round Toe Copper","brand","JOW","Justin Original Work Boots"
"1077981","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1077982","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Tobacco""","brand","JOW","Justin"
"1078000","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Black""","brand","JOW","Justin"
"1082446","Jow Men's Justin Worker Ii Pull-On Work Boot Steel Toe Brown","brand","JOW","Justin Original Work Boots"
"1082557","""John Deere Men's 6"""" Wct Waterproof Work Hiker Boot Tan""","color","Tan","Poplar"
"1082558","""John Deere Men's 6"""" Wct Waterproof Work Hiker Boot Tan""","color","Tan","Poplar"
"1094771","Tony Lama Men's Full Quill Ostrich Cowboy Boot Round Toe Coffee","shoe_size","9.0","8.5"
"1139602","""Jow Men's Justin Original Briar Pitstop Double Comfort 8"""" Lace-Up Work Boot Copper""","brand","JOW","Justin"
"1141119","Cinch Men's &Reg; Jeans  Blue Label Utility Fit Vintage","color","Vintage","Medium Stone Sandblast"
"1143623","Ely Cattleman Women's Embroidered Roses Vintage Western Cowboy Shirt Black","brand","ELY CATTLEMAN","Ely Country Charmers"
"1145585","Circle S Men's Tuxedo Slacks Black","standard_product_id","00013599022100","00013599022094"
"1145629","Justin Men's Original Work Boot Steel Toe Brown","color","Brown","Aged Bark"
"1149534","""Circle S Men's Lubbock Suit Coat Short, Reg, Tall Dove Grey""","color","Dove Grey","Black"
"1151197","Silverado Unisex Steak Knives Set Silver","item_name","Silverado Unisex Steak Knives Set Silver One Size","Western Moments Silverado Knife Set"
"1151197","Silverado Unisex Steak Knives Set Silver","standard_product_id","00701340365421",""
