"SKU"	"Title"	"Field Name"	"Merchant Value"	"Amazon Value"
"341"	"Stud Earrings with Cubic Zirconia in Sterling Silver"	"brand"	"Finecraft"	"Links"
"3E29-172-RH-SEM"	"Cubic Zirconia & Created White Sapphire Dewdrop Earrings in Sterling Silver"	"setting_type"	"3-prong"	"4-prong"
"51A3SSDR01-0V0ELB5"	"""XOXO Tennis Bracelet with Blue Diamond in Sterling Silver-Plated Brass, 7 1/4"""""""	"total_diamond_weight"	"0.006"	"0.003"
"51A6F29702"	"Infinity Link Bracelet with Diamond in Sterling Silver-Plated Brass"	"metal_type"	"rhodium-plated-brass"	"gold-plated-silver"
"80150ZZMLSJ2"	"3 3/8 ct Created Sapphire & White Sapphire Pendant in Sterling Silver"	"gem_type"	"sapphire"	"created-white-sapphire"
"A10-FE21892C-17"	"Just Gold Interlocking Hearts Necklace in 10K Two-Tone Gold"	"item_name"	"Just Gold Interlocking Hearts Necklace in 10K Two-Tone Gold"	"10k White and Yellow Gold Interlocking Heart Necklace, 17"""""
"A10-FE21892C-17"	"Just Gold Interlocking Hearts Necklace in 10K Two-Tone Gold"	"brand"	"Just Gold"	"Amazon Collection"
"AMP4148WH"	"Honora 13-14 mm Freshwater Ringed Pearl Pendant in Sterling Silver"	"gem_type"	"NA"	"not applicable"
"DIVG156516"	"Parents & Children Family Pendant in Sterling Silver"	"item_name"	"Parents & Children Family Pendant Necklace in Sterling Silver"	"Sajen Family Tree Dome Ring in Sterling Silver Size 6"
"DIVG156516"	"Parents & Children Family Pendant in Sterling Silver"	"brand"	"Finecraft"	"Sajen"
"E1314614"	"Just Gold Rounded Square Stud Earrings in 14K Gold"	"item_name"	"Just Gold Hammered Square Button Stud Earrings in 14K Gold"	"Everlasting Gold 14k Gold Hammered Button Stud Earrings"
"E1314614"	"Just Gold Rounded Square Stud Earrings in 14K Gold"	"brand"	"Just Gold"	"Everlasting Gold"
"E4017924-R"	"Just Gold Glitter Mesh Hoop Earrings in 14K Rose Gold"	"brand"	"Just Gold"	"Amazon Collection"
"ESAX5679KSPKC18E"	"Natural Sapphire Open Heart Pendant with Diamonds in Sterling Silver & 14K Gold"	"metal_type"	"yellow-gold-and-sterling-silver"	"gold-plated-silver"
"ESB4898BRQCL"	"Golden Quartz & 1/8 ct Diamond Pendant in Sterling Silver & 14K Gold"	"metal_type"	"yellow-gold-and-sterling-silver"	"S&G"
"ESBX43295AMSPCHE"	"2 ct Natural Multi-Stone Owl Pendant in Sterling Silver & 14K Gold"	"metal_type"	"yellow-gold-and-sterling-silver"	"gold-plated-silver"
"ESBX43315MSPC18E"	"2 1/2 ct Natural Multi-Stone Turtle Pendant in Sterling Silver & 14K Gold"	"metal_type"	"yellow-gold-and-sterling-silver"	"gold-plated-silver"
